Region ID,Gyrus,Description,Region Alias,Region Label
113,Middle Temporal Gyrus,PhG_L_6_3,"TL, area TL (lateral PPHC, posterior parahippocampal gyrus)",PhG_L_6_3
114,Middle Temporal Gyrus,PhG_R_6_3,"TL, area TL (lateral PPHC, posterior parahippocampal gyrus)",PhG_R_6_3
115,Middle Temporal Gyrus,PhG_L_6_4,"A28/34, area 28/34 (EC, entorhinal cortex)",PhG_L_6_4
116,Middle Temporal Gyrus,PhG_R_6_4,"A28/34, area 28/34 (EC, entorhinal cortex)",PhG_R_6_4
117,Middle Temporal Gyrus,PhG_L_6_5,"TI, area TI(temporal agranular insular cortex)",PhG_L_6_5
118,Middle Temporal Gyrus,PhG_R_6_5,"TI, area TI(temporal agranular insular cortex)",PhG_R_6_5
119,Middle Temporal Gyrus,PhG_L_6_6,"TH, area TH (medial PPHC)",PhG_L_6_6
120,Middle Temporal Gyrus,PhG_R_6_6,"TH, area TH (medial PPHC)",PhG_R_6_6
121,Superior Temporal Gyrus,pSTS_L_2_1,"rpSTS, rostroposterior superior temporal sulcus",pSTS_L_2_1
122,Superior Temporal Gyrus,pSTS_R_2_1,"rpSTS, rostroposterior superior temporal sulcus",pSTS_R_2_1
123,Superior Temporal Gyrus,pSTS_L_2_2,"cpSTS, caudoposterior superior temporal sulcus",pSTS_L_2_2
124,Superior Temporal Gyrus,pSTS_R_2_2,"cpSTS, caudoposterior superior temporal sulcus",pSTS_R_2_2
125,Superior Parietal Lobule,SPL_L_5_1,"A7ip, intraparietal area 7(hIP3)",SPL_L_5_1
126,Superior Parietal Lobule,SPL_R_5_1,"A7ip, intraparietal area 7(hIP3)",SPL_R_5_1
127,Superior Parietal Lobule,SPL_L_5_2,"A7c, caudal area 7",SPL_L_5_2
128,Superior Parietal Lobule,SPL_R_5_2,"A7c, caudal area 7",SPL_R_5_2
129,Superior Parietal Lobule,SPL_L_5_3,"A7pc, postcentral area 7",SPL_L_5_3
130,Superior Parietal Lobule,SPL_R_5_3,"A7pc, postcentral area 7",SPL_R_5_3
131,Superior Parietal Lobule,SPL_L_5_4,"A5l, lateral area 5",SPL_L_5_4
132,Superior Parietal Lobule,SPL_R_5_4,"A5l, lateral area 5",SPL_R_5_4
133,Superior Parietal Lobule,SPL_L_5_5,"A7r, rostral area 7",SPL_L_5_5
134,Superior Parietal Lobule,SPL_R_5_5,"A7r, rostral area 7",SPL_R_5_5
135,Inferior Parietal Lobe,IPL_L_6_1,"A39c, caudal area 39(PGp)",IPL_L_6_1
136,Inferior Parietal Lobe,IPL_R_6_1,"A39c, caudal area 39(PGp)",IPL_R_6_1
137,Inferior Parietal Lobe,IPL_L_6_2,"A39rd, rostrodorsal area 39(Hip3)",IPL_L_6_2
138,Inferior Parietal Lobe,IPL_R_6_2,"A39rd, rostrodorsal area 39(Hip3)",IPL_R_6_2
139,Inferior Parietal Lobe,IPL_L_6_3,"A40rd, rostrodorsal area 40(PFt)",IPL_L_6_3
140,Inferior Parietal Lobe,IPL_R_6_3,"A40rd, rostrodorsal area 40(PFt)",IPL_R_6_3
141,Inferior Parietal Lobe,IPL_L_6_4,"A40c, caudal area 40(PFm)",IPL_L_6_4
142,Inferior Parietal Lobe,IPL_R_6_4,"A40c, caudal area 40(PFm)",IPL_R_6_4
143,Inferior Parietal Lobe,IPL_L_6_5,"A39rv, rostroventral area 39(PGa)",IPL_L_6_5
144,Inferior Parietal Lobe,IPL_R_6_5,"A39rv, rostroventral area 39(PGa)",IPL_R_6_5
145,Inferior Parietal Lobe,IPL_L_6_6,"A40rv, rostroventral area 40(PFop)",IPL_L_6_6
146,Inferior Parietal Lobe,IPL_R_6_6,"A40rv, rostroventral area 40(PFop)",IPL_R_6_6
147,"PCC, Precuneus",Pcun_L_4_1,"A7m, medial area 7(PEp)",Pcun_L_4_1
148,"PCC, Precuneus",Pcun_R_4_1,"A7m, medial area 7(PEp)",Pcun_R_4_1
149,"PCC, Precuneus",Pcun_L_4_2,"A5m, medial area 5(PEm)",Pcun_L_4_2
150,"PCC, Precuneus",Pcun_R_4_2,"A5m, medial area 5(PEm)",Pcun_R_4_2
151,"PCC, Precuneus",Pcun_L_4_3,"dmPOS, dorsomeidal parietooccipital  sulcus(PEr) ",Pcun_L_4_3
152,"PCC, Precuneus",Pcun_R_4_3,"dmPOS, dorsomeidal parietooccipital  sulcus(PEr) ",Pcun_R_4_3
153,"PCC, Precuneus",Pcun_L_4_4,"A31, area 31 (Lc1)",Pcun_L_4_4
154,"PCC, Precuneus",Pcun_R_4_4,"A31, area 31 (Lc1)",Pcun_R_4_4
