"","xcoef_std_m1","xcoef_std_m2","xcoef_std_m3","xcoef_std_m4","xcoef_std_m5","xloading_m1","xloading_m2","xloading_m3","xloading_m4","xloading_m5"
"STG_L_6_6",-0.00645934296962027,-0.0259503464316026,-0.00496709984794797,0.0587065960279846,-0.0400508630649139,-0.37976904477847,-0.56653569943554,-0.11734356958783,0.25666143709243,-0.0819540599493174
"STG_R_6_6",0.00676344819399744,-0.024644131696718,0.018517059034077,0.0201944112061343,-0.00892336750417077,-0.33799431392198,-0.660825351051555,-0.039505277348428,0.25424411602777,-0.0164752802467422
"MTG_L_4_1",-0.034708815199467,0.00377797539183025,-0.00791712556808411,0.0448658964600803,-0.0323839671312652,-0.445272744401057,-0.560962121506561,-0.142445238820221,0.297958377297179,-0.0382522299124508
"MTG_R_4_1",-0.0288812642611028,-0.0128235787270538,0.0354727562938921,0.0468046500470045,-0.0447270110073026,-0.410375025424279,-0.611940213266054,-0.0551315769901112,0.280241139366785,-0.0243677194156684
"MTG_L_4_2",-0.0643594304931628,-0.000162681206977937,-0.0324707756598152,0.0580169853871171,-0.0897968720987247,-0.49347915820584,-0.473805112977794,-0.171526900676444,0.25274075836536,-0.123103470303905
"MTG_R_4_2",-0.102448225731557,-0.0422287689577173,-0.0709462380395745,0.0615568356931963,-0.117367187100368,-0.513045462636147,-0.502215255295472,-0.184416737706935,0.236121187864695,-0.10892113258826
"MTG_L_4_3",-0.0610118611291724,0.0198745562274377,-0.0468802990870943,0.0511294718239811,0.0402510724844684,-0.452615925472747,-0.49831093882773,-0.19730302959335,0.290638903228625,0.12487467784981
"MTG_R_4_3",-0.0249383409870489,-0.00225687256739748,-0.0433924012479295,0.0368527845530555,0.0127299700777246,-0.390368040596628,-0.560546523118486,-0.187134129944322,0.251136707550005,0.0608525088931792
"MTG_L_4_4",-0.0269803699903612,0.00237935048890725,-0.0069558274028719,0.0879924131348393,-0.0621882489918626,-0.392055239777709,-0.55658302946561,-0.129438319364575,0.313275099061253,-0.0593482602250134
"MTG_R_4_4",-0.00462112173815468,-0.0605558948289769,0.0964081033081786,0.120067993968636,-0.101820926960828,-0.374101741496946,-0.631566765947922,-0.03679841708848,0.28515084071443,-0.0634304708059279
"ITG_L_7_1",-0.0037683195816038,-0.0179858099449599,-0.0161030964699955,0.0109770904764442,-0.0328288284108052,-0.361254410669661,-0.626166949167902,-0.169787257177543,0.216475878790077,-0.105224388968436
"ITG_R_7_1",-0.00773381207503574,-0.0133277448933233,-0.0101282563556768,0.00771282288647463,-0.0151116613093815,-0.424766315218001,-0.567217590673983,-0.185715267898832,0.206901125228767,-0.0867406796387473
"ITG_L_7_2",-0.0141130792219352,-0.00543991723286098,-0.0301625378671725,0.008471040787235,0.0248919316919268,-0.387470474794684,-0.529975148501096,-0.193443983351533,0.207942940870829,0.127412293356253
"ITG_R_7_2",-0.00470633491461939,0.00602892105701575,-0.00545936947050348,0.00074982879475852,0.00447223266372918,-0.350534858412258,-0.478813901345295,-0.132315188104421,0.191588615604144,0.0642644069380075
"ITG_L_7_3",-0.0364680355164387,-0.00876844941995584,-0.0485356592194282,0.0460277997336316,-0.0614224865515842,-0.470844548620871,-0.45613188269579,-0.21192718561686,0.276644641434243,-0.104480791061111
"ITG_R_7_3",-0.0323002924108771,-0.0296683397140188,-0.0554057112292001,0.031934928318408,-0.0423392549974317,-0.470190917553635,-0.486648395258821,-0.229181256154061,0.259730629519264,-0.0638780992412741
"ITG_L_7_4",-0.0322378245328828,0.00528717688634784,-0.0210218895828862,0.0488119364004909,-0.0564511815087602,-0.464405511768172,-0.490095872998505,-0.179387564425587,0.304142144943676,-0.140354946080124
"ITG_R_7_4",-0.0445834441488932,-0.0188740006154424,-0.00963095314946864,0.0429461804851567,-0.0407113030091136,-0.485830256149822,-0.517461369493098,-0.143438279452692,0.269013199790236,-0.0694022638738991
"ITG_L_7_5",-0.0336043994647093,0.00242264947265368,-0.0492527317507418,0.027361104913797,0.0273815728415347,-0.432240232464756,-0.526701403856034,-0.218227053307904,0.247903849789899,0.100891267784037
"ITG_R_7_5",-0.00664992691231543,-0.00223292435905577,-0.023750010696988,0.0146384245592237,0.0048357587192134,-0.375636838581463,-0.535649361311234,-0.18904506492888,0.21938153035944,0.0467493697505856
"ITG_L_7_6",-0.0227577816991057,-0.00382066566555679,-0.0322601972321099,0.0337789730849631,-0.0120800239859699,-0.365199228224708,-0.551450406797192,-0.165484850671819,0.267285873846122,0.041288038564181
"ITG_R_7_6",-0.00488328531514884,-0.00589958020322584,0.0120343777355156,0.00780979239665722,-0.0203157643738787,-0.318226995933565,-0.562054589742662,-0.0655780927686692,0.213842324558517,0.00643866484022954
"ITG_L_7_7",-0.0280231509886234,-0.010589265578658,-0.0285542003939016,0.0423138748635231,-0.0576199308009192,-0.382627583807203,-0.572578515325072,-0.165782774496558,0.262853606454424,-0.0651058112371881
"ITG_R_7_7",0.0054624449598593,-0.0345250136222537,0.0339231470872633,-0.00694613412991324,-0.0369063579064916,-0.284273624088671,-0.62048802928221,-0.041152981799469,0.163507116899,-0.0144602100523798
"FuG_L_3_1",-0.00958807287410961,-0.100506721473583,-0.0657909120682106,0.0467973263597712,-0.138300255480874,-0.401804509324228,-0.647992546702031,-0.1772330254729,0.241689570486093,-0.113071029824939
"FuG_R_3_1",-0.0249780675072478,-0.149254442170752,-0.0657572343800729,0.00282115288373831,-0.124580790840358,-0.406740435121351,-0.663842091295289,-0.171074490796661,0.187705189547465,-0.0775129653039748
"FuG_L_3_2",-0.0468148546541192,-0.0809524589686185,-0.0589736998126047,-0.0465353462939951,-0.00806419107307977,-0.411512458280604,-0.662463041232753,-0.126390469621736,0.107373880979672,0.0124892293276945
"FuG_R_3_2",-0.036258619705572,-0.0342079175664519,-0.0092467447801781,-0.0593928179139635,-0.0848156186450787,-0.37635220236791,-0.602690742953428,-0.0663341298143761,0.0744985868482179,-0.099843747662366
"FuG_L_3_3",-0.0122857452671796,-0.0669142319147481,-0.115397036896163,-0.0598825805118856,0.0286575044869116,-0.335244404679929,-0.615854890280149,-0.175729998546223,0.122937902642326,0.0778902461249671
"FuG_R_3_3",0.0297502809299274,-0.036620169318902,0.0113380734026924,-0.0929236019755686,-0.028089822825489,-0.293133426809406,-0.601059963489009,-0.0689199353664776,0.0974166860244619,0.0147917220392171
"PhG_L_6_1",0.00273745926196397,-0.0142853873527105,-0.0131886951557342,0.00397263136982321,-0.0180372456753317,-0.346207741432595,-0.56603540367927,-0.204961503166761,0.202710174450787,-0.107784438040908
"PhG_R_6_1",0.00105373176031426,-0.0183733474280495,-0.0109507609672296,-0.00493030155881841,-0.0110899350649169,-0.331023418469284,-0.593707719354313,-0.196023953334837,0.12220559441694,-0.0541161751361009
"PhG_L_6_2",-0.000842999289836683,-0.0185257000305005,0.00813375947286134,-0.00945922597246504,-0.00859503883715937,-0.227742096660421,-0.64696171651114,-0.0196247145052128,0.0445769711596596,-0.0345175808820332
"PhG_R_6_2",0.00465337798187523,-0.0223643896065671,0.00925810309096282,-0.0139502425021378,-0.011184304143105,-0.18019856936805,-0.638816765764917,-0.0264542856511058,0.0191491514026989,-0.0437040142494178
"PhG_L_6_3",0.00582066473393324,-0.0234287936853882,0.00479626278096477,-0.00849714683158515,-0.0139308031046005,-0.180485869842651,-0.706460047743296,-0.0254768598691118,0.058777555989198,-0.0634216770435263
"PhG_R_6_3",0.00853428538441142,-0.0180205001251732,0.0107095840006087,-0.0118075857630586,-0.0116004996894099,-0.117682142226904,-0.64905221065881,0.0211828031957897,0.00911824529687646,-0.0565492776633397
"PhG_L_6_4",-0.00618497928113282,-0.0159896310745423,-0.00160195550549304,-0.0106307779662687,-0.0132405277526942,-0.347691193415996,-0.603921343740157,-0.113218426410661,0.0856618566863689,-0.0625151243772089
"PhG_R_6_4",-0.004550827946842,-0.0112428566452498,-0.00254418716207453,-0.00845557707926097,-0.00549289301392662,-0.33202342175611,-0.554776200666289,-0.123957421508324,0.077749675895215,-0.0113288888443034
"PhG_L_6_5",0.00436387827460696,-0.00685652805323203,-0.0104911285004932,0.000752306642079611,-0.00633700321124211,-0.301337753685743,-0.512596546400721,-0.222524352975068,0.191482992905968,-0.0614281212891686
"PhG_R_6_5",-0.00610490986849001,-0.0171295945600121,-0.0153700903822608,-0.0054260231602525,-0.00585294054316708,-0.39434387048077,-0.529102249673581,-0.182571395766267,0.147234396703809,-0.00653214915141344
"PhG_L_6_6",-0.00762153776717662,-0.0134470745578434,0.00143372870897453,-0.00658099703935757,-0.0100456761914808,-0.381423730456045,-0.658892036192648,-0.072101100755583,0.0986939125139497,-0.0542189590071963
"PhG_R_6_6",-0.00138727670835595,-0.0223826023238215,0.005795612682644,-0.014396669528077,-0.0106147221042965,-0.258408580839914,-0.6778563325558,-0.0272134813857102,0.0309279681216518,-0.0455912148629568
"pSTS_L_2_1",-0.00590844798863525,-0.0123337929662828,-0.014474318083172,0.0192501194224973,0.00740182081702603,-0.327511584905235,-0.556302544965579,-0.138678604365376,0.256775752942043,0.0796934354350569
"pSTS_R_2_1",0.0199651685439303,-0.0194745685835077,0.0078717769714856,0.0195237295977675,0.00830717169250689,-0.257500475175518,-0.575062672926675,-0.0839478265727301,0.256945661406878,0.0795227087552175
"pSTS_L_2_2",-0.0134696847397164,-0.00381937003509656,-0.0317935845347973,0.0230404103899368,0.0288256560321058,-0.366844824479553,-0.521985786166181,-0.206491483353315,0.288758462494697,0.154856363156607
"pSTS_R_2_2",0.00667044905816344,-0.0125312978312544,0.000333655164501793,0.012521694239437,0.00328726486586433,-0.304841043994318,-0.591354532725325,-0.113376966621822,0.266125401900812,0.0781385631299496
"SPL_L_5_1",-0.0728580707010531,-0.00522061309581539,0.0145153205587672,0.0245681863048158,-0.0144771414632768,-0.52876883186736,-0.551987297611176,-0.0682422772992411,0.241800932976548,0.00946808983169867
"SPL_R_5_1",-0.105716682958047,-0.0138405837815754,0.0214952269476845,0.0391394472929288,0.0102828604621711,-0.531834512914442,-0.567596325577884,-0.0647666426308444,0.255924688987551,0.0737673162839683
"SPL_L_5_2",-0.0561909570313414,-0.0131539509469884,0.0164212404262134,0.0266423856441288,-0.0304253313802073,-0.463687698417317,-0.56335892831862,-0.086483266463922,0.238263202280536,-0.0112392994056512
"SPL_R_5_2",-0.0826314013311296,-0.00599924827402398,-0.00622057622888379,0.0479449122948176,-0.0188168950326047,-0.508052801309068,-0.553884206156668,-0.122629525675931,0.275035594805204,0.0159597458226545
"SPL_L_5_3",-0.0471884242223171,-0.0136873858552342,-0.041500885203408,0.0243805213087499,0.0221049746296121,-0.423914677948972,-0.555386870589092,-0.210702827897562,0.22712591646526,0.0871340192463037
"SPL_R_5_3",-0.0386554343174652,-0.0221595084365153,-0.00814715552363874,0.0191616296002996,0.0214376148890468,-0.428466087402604,-0.590768451988149,-0.142624407094599,0.226275080947628,0.103525093385307
"SPL_L_5_4",-0.0909676790762758,-0.0140691845407704,0.00398104598452266,0.0124655867784362,-0.00577249578347369,-0.542723852372079,-0.590593656517564,-0.0833081261240654,0.198703537741531,0.0178515526668993
"SPL_R_5_4",-0.079867094336767,-0.0256703341284524,0.0285734981256305,0.0209119258342857,0.0103467459408329,-0.520073975944798,-0.615983472030257,-0.0398062693905512,0.21701842829699,0.0675142269929929
"SPL_L_5_5",-0.0343142531205774,-0.0115761047726672,-0.0174697310638013,0.0341964260492323,0.000695488526882169,-0.428149623877918,-0.573639352478444,-0.162855068719917,0.266420268058956,0.0455194174691364
