"","xcoef_std_m1","xcoef_std_m2","xcoef_std_m3","xcoef_std_m4","xcoef_std_m5","xloading_m1","xloading_m2","xloading_m3","xloading_m4","xloading_m5"
"FuG_R_3_3",-0.0490688807326646,-0.209470933126632,-0.010709843721854,-0.0306021957553863,-0.0732170052485206,-0.560303597733115,-0.604330354556756,-0.0784144876339584,-0.141999702105877,-0.143028649195729
"PhG_L_6_1",-0.0164699123061362,0.00305583192385165,0.00676243528767719,-0.00112359550691462,-0.00516956058185626,-0.672789573663478,-0.309637748553009,0.024775185189025,-0.105842765751382,-0.0572903120706417
"PhG_R_6_1",-0.00913751718735061,0.00443607248660969,0.00150977867327439,0.0107007923569687,0.00137044503169726,-0.529294346932054,-0.226308370791577,-0.0298611894774523,0.0696790366357957,0.00223073756727621
"PhG_L_6_2",0.00339783860646374,-0.00361063503963548,-0.00591063050077126,0.0117197096134947,0.00998098236809937,-0.311131331032901,-0.343614496286216,-0.114521298362039,0.114976409062934,0.0815345545244266
"PhG_R_6_2",0.00483640978365117,-0.000134044123869658,-0.00416378532816556,0.0140834566522206,0.00311310743396357,-0.242413267124021,-0.257547520203218,-0.101525951518295,0.130165027411539,0.00673748489032756
"PhG_L_6_3",0.0149828698171135,-0.0215889733513765,-0.00923110446436373,0.0124996207366286,0.00550021245413048,-0.18510429504182,-0.534811525091375,-0.166766943941148,0.112001345460072,0.0056476070657175
"PhG_R_6_3",0.00676605651497542,-0.0147198740835746,-0.00605764724130227,0.0146837723431342,0.00109286407168822,-0.242823383145148,-0.469522029279887,-0.140021527812978,0.14233889378943,-0.0234868053074283
"PhG_L_6_4",-0.0122006975631938,0.00247300395684315,0.00721851802322903,0.0101582837755086,0.00477922608502913,-0.576127825201983,-0.304181873072142,0.0323331924953582,0.0300988275338519,0.0390500600924892
"PhG_R_6_4",-0.00401781647139581,0.00495100252255135,0.0020460358903511,0.0125116400647841,0.00607381764381016,-0.382041732309747,-0.160804609989814,-0.0281984595219428,0.143187976468798,0.074643762219256
"PhG_L_6_5",-0.0119598354838659,-0.00147346461202155,0.00591476095289264,-0.000539705519804528,-0.00350245621402322,-0.691826650962657,-0.358624201498234,0.0461655525062974,-0.117740318115656,-0.0722539278054416
"PhG_R_6_5",-0.0150827753105327,0.00407252396778326,0.00143628368011364,0.00378373705634818,0.000582855166764297,-0.617834649869726,-0.28031269384348,-0.0256661020450533,-0.0315700790848528,-0.029283452324386
"PhG_L_6_6",0.000847112103639658,-0.0192059387426685,0.000320695502918008,0.014049780163209,-0.00740190301642162,-0.456596872951868,-0.547112762968257,-0.0974798996913153,0.019750550933615,-0.129019338369659
"PhG_R_6_6",-0.000435716420179722,-0.0225299553483302,0.0035915803290204,0.0261008260007071,0.004102481698662,-0.447806858041834,-0.563346358259075,-0.0544853911829353,0.115140316030534,-0.00379529604475504
"pSTS_L_2_1",0.011076292253722,-0.026196332362301,-0.000684286194744466,-0.0250739679398774,0.0276666725119065,-0.443388211531445,-0.492218193567202,-0.0506149386969903,-0.113554595567439,0.0836471418871593
"pSTS_R_2_1",-0.019654657433689,-0.0368123583973066,-0.00975459176522984,0.00355254368547575,0.0219847745872567,-0.561615625569641,-0.54381858448543,-0.0702091809171908,-0.0478032557160498,0.0498289339485958
"pSTS_L_2_2",0.0171163739177245,-0.0268508086565653,0.0140095069927909,-0.0228232057383646,0.0330835723095762,-0.433440129667302,-0.498809844293732,-0.019207011610976,-0.127939942802858,0.113595665898446
"pSTS_R_2_2",-0.00475064407189845,-0.030482193844814,-0.0198455473138038,-0.0057809424444592,0.0253931814212928,-0.490152583434083,-0.57892615504872,-0.134512329261157,-0.0622335738149286,0.0988250769481032
"SPL_L_5_1",-0.0357572495366328,0.0157844849566172,0.0147474751183771,-0.020448317423784,0.0237087393994234,-0.64520198487869,-0.358532385715281,-0.0067572246877741,-0.135576536063153,0.0153825744024473
"SPL_R_5_1",-0.0963529498709651,0.0491568882152666,-0.025971698000049,0.0241343073348468,0.0684800723078574,-0.703317344824672,-0.281989565044059,-0.0819480120258236,-0.0419751045390357,0.0633231399822414
"SPL_L_5_2",0.00596166487251238,0.0148104101807025,0.0429473058504659,-0.0140720567658838,0.0197478122043053,-0.49526025370302,-0.35161081055953,0.0318874565450131,-0.099568083504696,0.0174310518565278
"SPL_R_5_2",-0.0378299239308611,0.0225496299993169,0.0363803176677525,0.0139266266567963,0.0277347386846877,-0.614206779326644,-0.353718583511349,0.0208020196136601,-0.067355099731148,0.0208623261446041
"SPL_L_5_3",-0.0151378805828536,-0.0225606218717034,0.00741334436630206,-0.0334825209202925,0.0784658650001998,-0.557566860365367,-0.492412626074817,-0.0288890971732519,-0.144798766846588,0.161378181760074
"SPL_R_5_3",-0.0295870415333963,-0.00495890451968998,-0.0108222899201838,-0.0236612114474091,0.0636968107857114,-0.606215524494532,-0.441892777474674,-0.0703699221743287,-0.133472444124192,0.169841111772223
"SPL_L_5_4",-0.0693788783786011,0.0308170092380242,0.0138153508911581,0.00416762879120902,0.064399774271891,-0.697315700605497,-0.324063698466431,-0.0197480517032759,-0.094046996814368,0.0798525178404011
"SPL_R_5_4",-0.0871659578084288,0.0450700150679011,-0.0231011872585995,0.0276392474997914,0.0642378860709793,-0.696194819565925,-0.263276496000545,-0.0915832508903078,-0.0173398619788788,0.0806101204739041
"SPL_L_5_5",-0.00811444910667006,-0.017663735331055,0.0183573176347048,-0.0327569370324022,0.0446572181186884,-0.556563846870183,-0.46634770446206,0.00740459736457386,-0.164243700445462,0.0985845863514719
"SPL_R_5_5",-0.016669767934636,-0.0198574847588035,-0.00854862571379315,-0.0308840335179417,0.0529713741609662,-0.581093637152633,-0.485833771705385,-0.0632004093242981,-0.141519250031789,0.104156412237765
"IPL_L_6_1",-0.0505172027668581,0.0185583398473172,0.130500726635456,0.0527953693596674,0.0599177185639942,-0.581836706155659,-0.336403726745891,0.0510690310803868,-0.106940153616813,0.0426659679507543
"IPL_R_6_1",-0.0564646525327733,-0.136862075911152,0.175299110055182,-0.0516357872681982,-0.0326411164014287,-0.576658866628163,-0.513115432120115,0.0860352023282029,-0.176602029182659,-0.0329329084091959
"IPL_L_6_2",-0.0434883546023856,-0.0242478979081312,0.0773955336288062,-0.10917309547832,0.0712684049267393,-0.607389119399057,-0.434191660604796,0.0392699444516093,-0.23824215879294,0.0739809337381015
